frame, timestamp, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
41,1.5935,0.2038,0.00237876,0,0,1.19322,2.72513,0.93325,3.01579,0.00173313,0,2.02608,4.53165,0.431022,0,0,0,0.624771
42,1.63334,0.262155,0.00237876,0,0.047024,1.1819,2.83581,1.06149,3.06498,0,0,2.09099,4.38025,0.505185,0,0,0,0.701244
43,1.67318,0.30453,0,0,0.047024,1.25968,2.85874,1.16209,3.00098,0.0149686,0,1.80715,4.28604,0.461043,0,0,0,0.693338
44,1.71302,0.188878,0,0,0.047024,1.35211,2.96207,1.25503,3.06089,0.0614513,0,1.54175,4.12551,0.23236,0.00149083,0,0,0.739631
45,1.75285,0.115849,0,0,0,1.39805,2.96323,1.1524,2.92509,0.146633,0,1.56793,4.23138,0.126951,0.00149083,0,0,0.727101
46,1.79269,0,0,0,0,1.38968,2.8557,1.02803,2.90102,0.201006,0,1.67595,4.29138,0.097426,0.00149083,0,0,0.752428
47,1.83253,0.0603788,0,0,0,1.34014,2.77102,0.921625,2.848,0.154523,0,1.68325,4.42964,0.12755,0.035328,0,0,0.705741
48,1.87237,0.179351,0,0,0,1.31911,2.78316,0.985753,2.90424,0.0754316,0,1.52617,4.31157,0.167365,0.035328,0,0,0.616125
49,1.9122,0.267881,0,0,0,1.31647,2.80729,1.04173,2.93247,0.0367817,0,1.49437,4.48842,0.118439,0.035328,0,0,0.567413
50,1.95204,0.207502,0,0,0,1.35969,2.83616,1.0664,2.94076,0.0466985,0,1.55472,4.31725,0.0883145,0.0146365,0,0,0.599481
51,1.99188,0.180462,0,0,0,1.33598,2.92373,1.04048,2.9821,0.117955,0,1.80973,4.50108,0.134925,0.0146365,0,0,0.636025
52,2.03172,0.0919327,0,0,0,1.36909,3.08452,1.01877,3.04811,0.117012,0,1.79001,4.36749,0.142239,0.0146365,0,0,0.663843
53,2.07155,0.0919327,0,0,0,1.36675,3.16739,1.05934,2.97389,0.237552,0.00648918,1.92911,4.64724,0.220168,0,0,0,0.69431
54,2.11139,0,0,0,0,1.43518,3.12429,0.971945,2.99417,0.220919,0.00648918,1.82105,4.54898,0.0879477,0.0502859,0,0,0.741151
55,2.15123,0.0918359,0,0,0,1.41121,3.18832,1.0193,3.07286,0.242176,0.00648918,1.85406,4.48732,0.169764,0.0502859,0,0,0.7373
56,2.19107,0.132274,0,0,0,1.39431,3.05603,1.09573,3.08984,0.151451,0,1.77084,4.33462,0.218571,0.0518163,0,0,0.652405
57,2.2309,0.188117,0,0,0,1.35404,2.94183,1.22513,2.98226,0.11769,0,1.82935,4.36654,0.346051,0.00153043,0,0,0.594035
58,2.27074,0.0962812,0,0,0,1.37306,2.80874,1.25081,2.96524,0.0998287,0.0183593,1.62567,4.36459,0.35804,0.00153043,0,0.0915735,0.589588
59,2.31058,0.155089,0,0,0,1.3522,2.83586,1.18841,2.96001,0.0708264,0.0183593,1.65244,4.47058,0.274615,0.0537553,0,0.0915735,0.624854
60,2.35042,0.143447,0,0,0,1.34978,2.84292,1.12974,2.99393,0.0788671,0.0183593,1.42651,4.31757,0.200941,0.151535,0,0.0915735,0.593057
61,2.39025,0.177104,0,0,0,1.33559,2.91007,1.02284,2.92417,0.0806825,0,1.70367,4.40182,0.0971169,0.151535,0,0,0.625833
